"X1.501","Company.Names","Company.Names2","Min.Value","Max.Value","Change","Perc.Change"
492,"Exxon Mobil","Exxon Mobil",69.92,58.89,-11.03,-0.15775171624714
493,"DENTSPLY International","DENTSPLY International",34.55,29.46,-5.09,-0.147322720694645
494,"Xerox Corp","Xerox Corp",8.45,8.97,0.520000000000001,0.0615384615384617
495,NA,"",41.29,NA,NA,NA
496,"Yahoo","Yahoo",14.79,13.79,-1,-0.0676132521974307
497,"Yum Brands","Yum Brands",36.02,42.32,6.3,0.174902831760133
498,NA,NA,18.22,19.14,0.920000000000002,0.0504939626783755
499,NA,NA,47.24,49.82,2.58,0.054614733276884
500,"Average","Average",37.8923428857715,42.0723547094188,4.18001182364731,0.1103128364548
501,"","",NA,NA,NA,NA
